BCP-47	docs (noisy)	docs (clean)	sents (noisy)	sents (clean)	toks (noisy)	toks (clean)	chars (noisy)	chars (clean)	clean	noisy
et	8.8M	5.5M	223.8M	176.3M	5B	3.6B	40.1B	28.7B	10.7 G	15.0 G
lv	8.4M	5M	186.1M	138.5M	4.8B	3.2B	36.7B	23.9B	9.1 G	13.8 G
hi	9.9M	4.5M	254.4M	152M	7.4B	3.8B	39.9B	20.1B	9.9 G	19.7 G
sq	5.5M	3.6M	5.5M	56.1M	2.7B	2.1B	17B	12.7B	4.8 G	6.6 G
az	5.2M	3.3M	90.3M	70.9M	2.1B	1.5B	16.3B	11.9B	4.5 G	6.3 G
hr	23M	2.8M	476.6M	53M	12.6B	1.4B	85.1B	9.6B	3.7 G	33.5 G
ta	5.6M	2.6M	122.5M	81.9M	2.1B	1.1B	19.2B	10.6B	4.9 G	8.8 G
ms	14.1M	2.3M	14.1M	55.2M	8B	1.7B	58.8B	12.5B	4.0 G	20.4 G
ml	3.7M	2.1M	75M	52M	1B	603.3M	10.5B	6.3B	3.0 G	5.1 G
sr	4.7M	2M	4.7M	64M	2.7B	1.6B	18.6B	11B	5.1 G	8.7 G
kk	3.1M	1.8M	87.4M	59.1M	1.6B	1B	13.4B	8.6B	3.8 G	5.8 G
te	2.5M	1.7M	59M	46.4M	900.2M	618.5M	7.4B	5.1B	2.6 G	3.8 G
mr	2.9M	1.7M	2.9M	50M	1.2B	776.9M	8.7B	5.5B	2.8 G	4.4 G
is	2.9M	1.6M	73.7M	39.3M	2.1B	979.2M	14.9B	6.4B	2.5 G	5.9 G
bs	12.9M	1.4M	163.6M	9M	5.9B	490.9M	39.5B	3.3B	1.3 G	15.6 G
mk	2.9M	1.4M	41.3M	22.6M	1.3B	685.9M	9.1B	4.5B	2.0 G	4.0 G
gl	4.2M	1.3M	45.3M	18.8M	2.3B	748.4M	15.6B	4.8B	1.7 G	5.5 G
eu	2.1M	1.2M	41.7M	24.8M	827.5M	525.3M	6.9B	4.3B	1.5 G	2.4 G
bn	4.3M	1.1M	151.2M	38.6M	2.5B	645.7M	16.8B	4.3B	2.2 G	8.7 G
be	2M	1.1M	48.8M	31.3M	981M	632.9M	7.2B	4.6B	2.2 G	3.5 G
ka	3.1M	936.5K	53.7M	26.6M	1.2B	460.8M	10.3B	3.8B	1.9 G	5.0 G
fil	4.2M	901.5K	67.4M	19.2M	2.2B	741.7M	14.6B	4.7B	1.5 G	5.0 G
mn	2.2M	879.9K	43.3M	24M	1.1B	487.5M	7.9B	3.5B	1.6 G	3.5 G
af	2.9M	868.7K	51.9M	30M	1.7B	795M	11.8B	4.8B	1.8 G	4.2 G
uz	1.4M	669.9K	25.7M	17.5M	605.9M	388.3M	5.2B	3.3B	1.1 G	1.9 G
gu	1.3M	659.7K	28.9M	18.1M	634.4M	345.9M	3.9B	2.1B	1.1 G	2.0 G
kn	1.6M	657.8K	32.9M	19.2M	546.4M	258.6M	4.6B	2.2B	1.1 G	2.3 G
kaa	1.1M	586.4K	19.8M	13.3M	455.9M	269M	3.8B	2.2B	990.2 M	1.6 G
sw	1.3M	537.8K	1.3M	9.5M	660.7M	345.8M	4.6B	2.4B	826.1 M	1.6 G
ur	967.2K	467.2K	29M	18.4M	1B	562.5M	5.2B	2.7B	1.2 G	2.4 G
ne	876.4K	453.3K	876.4K	20.4M	585M	345.3M	3.9B	2.2B	1.1 G	1.9 G
cy	4.9M	430.7K	68.3M	7.4M	3.6B	275.6M	26.4B	1.7B	609.5 M	10.0 G
hy	2M	397.5K	31.1M	9.9M	1B	190.9M	8.1B	1.5B	678.9 M	3.6 G
ky	751.1K	367.6K	14.3M	9.6M	303.4M	181.6M	2.5B	1.4B	665.1 M	1.1 G
si	788K	349.2K	22.1M	16M	507.3M	293.3M	3.4B	1.9B	1023.6 M	1.8 G
tt	2.1M	346.9K	60.2M	8.6M	1B	135M	12.1B	1B	494.1 M	4.6 G
tg	789.2K	328.2K	789.2K	7.4M	363.8M	208.8M	2.6B	1.4B	635.7 M	1.1 G
la	2.9M	319.2K	85.7M	13.8M	1.1B	218.4M	8.2B	1.5B	550.6 M	2.9 G
so	729.2K	293.2K	729.2K	3.1M	294.8M	146.3M	2.1B	992.4M	350.8 M	746.2 M
ga	5.3M	286K	31.7M	6.9M	4.2B	229.3M	30.6B	1.4B	500.7 M	9.8 G
km	297.8K	285.7K	5M	5M	53M	52.6M	1.1B	1.1B	566.2 M	570.0 M
mt	1.2M	265.4K	1.2M	5.6M	390.4M	171.5M	3.2B	1.3B	467.4 M	1.1 G
eo	1.4M	260K	33.9M	9.3M	745.1M	253.1M	5.5B	1.7B	627.6 M	1.9 G
ps	429.9K	252.9K	5.1M	3.6M	293.9M	177.5M	1.4B	848.9M	403.5 M	682.9 M
rw	681.8K	226.5K	681.8K	1.9M	225M	99.8M	1.7B	749.1M	264.8 M	702.4 M
ku	671.9K	218.9K	10.7M	4.9M	305.3M	143.8M	2.1B	849.9M	335.3 M	791.9 M
lo	229.1K	216K	2.9M	2.8M	41.7M	41.1M	706.9M	697.6M	365.3 M	370.8 M
fy	1.7M	210K	12.1M	3.7M	506.9M	94M	3.7B	592.3M	223.0 M	1.2 G
ha	443.9K	173.5K	4.5M	2.4M	206.5M	109.3M	1.3B	630.2M	219.0 M	478.1 M
my	176.5K	172.4K	176.5K	10.1M	96.6M	96.3M	1.3B	1.3B	648.8 M	650.4 M
dv	264.4K	167.2K	4.3M	3.5M	92.8M	64M	877.3M	603.1M	238.3 M	343.2 M
pa	368.2K	150.6K	368.2K	6M	306M	152.8M	1.6B	797.1M	414.1 M	857.6 M
ckb	622.7K	148.9K	5.6M	2.5M	312.7M	83.3M	2.2B	572.7M	265.0 M	1011.1 M
lb	7.6M	146K	47.1M	3.4M	7.5B	85M	58.4B	575.5M	218.4 M	22.2 G
mg	295.2K	115.4K	4.5M	2.6M	189.4M	75.5M	1.3B	548.5M	179.0 M	429.3 M
ht	425.6K	110.4K	6.7M	2.6M	163M	84.3M	994.5M	461.5M	168.2 M	361.5 M
ug	227.1K	106.5K	4.5M	3.1M	122.9M	62.7M	998.5M	504.6M	233.1 M	449.9 M
am	245.2K	106.3K	7.1M	5.3M	157M	95.2M	869.9M	509M	345.5 M	539.4 M
or	139.6K	100.5K	139.6K	3.1M	66M	47.3M	437.2M	309.5M	160.3 M	228.1 M
fo	382.9K	97.8K	3.9M	1.8M	136.5M	48.9M	923.3M	314.9M	122.0 M	328.8 M
gd	206K	94.3K	3.7M	2.4M	127.6M	84.5M	812M	526M	173.4 M	276.6 M
ba	372.4K	90.3K	9.3M	2.6M	101M	42.1M	766.5M	320.7M	154.8 M	352.4 M
tk	180.2K	82.5K	180.2K	1.8M	65.4M	43.3M	575.2M	369M	131.3 M	221.6 M
mi	711.9K	79.5K	5.9M	1.9M	262.5M	73.5M	1.6B	371.9M	120.2 M	539.1 M
hmn	241.3K	75.2K	3.5M	1.9M	192.1M	80.2M	1.2B	408.8M	124.3 M	366.0 M
grc	364.8K	70.7K	13.7M	2.8M	298.6M	65.3M	2B	417.8M	217.7 M	1.0 G
jv	999.5K	69.5K	13M	2M	302.3M	52.1M	2.3B	376.1M	130.9 M	797.8 M
ceb	617.5K	66.2K	6.7M	1.6M	225M	58.2M	1.5B	357.7M	116.2 M	451.4 M
sd	115.6K	65.9K	115.6K	2.4M	112.6M	77.8M	561M	380.4M	182.3 M	267.1 M
yi	160.6K	64.9K	3.3M	1.9M	129.1M	53.9M	838.4M	352.6M	146.0 M	350.8 M
kaa_Latn	375.2K	61.2K	3.6M	1.3M	375.2K	61.2K	1.5M	209.5K	86.2 M	264.6 M
sn	3.1M	60.2K	3.1M	1.2M	1.3B	31.6M	10.6B	266M	92.5 M	3.2 G
co	546.7K	55.4K	6.1M	1.3M	172.6M	43.6M	1.1B	265.5M	98.8 M	386.8 M
su	336.6K	55K	336.6K	1.6M	154M	39.5M	967.2M	286.7M	100.7 M	308.5 M
pap	259.1K	54.5K	259.1K	1.4M	183.9M	41.1M	1.4B	229.9M	83.5 M	451.4 M
ig	130.4K	54.4K	2.1M	1.4M	129.2M	45.7M	846.1M	251.4M	93.0 M	178.9 M
zu	372.3K	53.8K	3.8M	1.2M	148.4M	27.2M	1.2B	257.4M	89.6 M	374.7 M
xh	310.9K	53.7K	2.9M	1.4M	81.6M	31.2M	749.5M	287.3M	100.0 M	319.1 M
sm	137.8K	52.6K	1.9M	1.3M	100.9M	53.7M	607.9M	276.3M	88.6 M	184.5 M
ny	181.6K	52.2K	181.6K	1.5M	80.6M	34.8M	611.2M	277.5M	91.8 M	209.8 M
yo	115K	52.1K	2M	1.2M	76.6M	46.3M	415.6M	239M	89.2 M	157.8 M
cv	599.4K	47.3K	12M	1.6M	169.6M	22.2M	1B	168.9M	82.1 M	413.6 M
el_Latn	497.3K	46.4K	11.3M	1.7M	497.3K	46.4K	2.3M	162.8K	196.8 M	571.1 M
kl	85.9K	46K	2.1M	1.5M	32.3M	22.3M	403.9M	279.1M	84.2 M	126.1 M
haw	310.4K	45.7K	7.1M	1M	141M	43.3M	892M	214.2M	69.9 M	271.2 M
gsw	7.6M	42.7K	64.5M	1M	5B	22.3M	42.3B	149.2M	53.8 M	13.5 G
tet	291K	40.4K	1.9M	475.7K	240.6M	22.8M	1.6B	152.3M	51.2 M	455.4 M
st	96.8K	40.4K	96.8K	1.1M	65M	39.8M	381.5M	226.9M	74.0 M	127.0 M
lus	91.5K	36.4K	1.4M	863.5K	53M	31.3M	298.3M	167.3M	60.1 M	107.0 M
oc	2.4M	36.4K	2.4M	1.6M	887.6M	26.7M	6.7B	177.6M	58.7 M	1.9 G
as	53.9K	33.8K	2.4M	1.7M	41.4M	27.9M	275.8M	182.1M	95.8 M	146.1 M
rm	238.1K	33.8K	238.1K	603.4K	59.2M	15.8M	391M	100.2M	34.6 M	133.1 M
br	705.4K	33.2K	7.8M	731.7K	646.8M	21M	3.7B	125.4M	46.2 M	1.2 G
sah	1.3M	29.2K	1.3M	1.2M	283.7M	17.6M	2.2B	148.2M	68.3 M	852.3 M
hi_Latn	1.2M	26.7K	22.6M	1.2M	1.2M	26.7K	5.3M	98.9K	53.5 M	1.7 G
se	54.3K	23.9K	879.5K	493.3K	17.7M	10M	148.4M	84.6M	31.1 M	56.6 M
cnh	44.4K	21.6K	688.6K	406.9K	21.6M	12.5M	110.8M	63M	22.1 M	39.6 M
om	846.1K	18.9K	846.1K	469.8K	238M	11.2M	1.9B	88.5M	30.4 M	881.5 M
ce	59.3K	15K	991.1K	460.1K	17.8M	9.6M	130.6M	67.8M	31.1 M	60.2 M
udm	67.1K	13.4K	942.7K	510.3K	14M	7.4M	106M	55.5M	26.3 M	49.2 M
lg	61.1K	13K	510.9K	166.1K	21.4M	6.1M	160.7M	48M	17.3 M	56.7 M
os	172.1K	12.6K	172.1K	359.3K	27.1M	6.9M	233.5M	50.1M	23.1 M	87.7 M
nv	17.1K	12.6K	17.1K	86.5K	3.1M	1.1M	24.8M	9.1M	2.0 M	7.9 M
kha	37.8K	12.1K	235.5K	75.2K	15.8M	6M	88.6M	30.2M	9.8 M	27.3 M
ilo	69.8K	11.8K	889.2K	365.1K	26.7M	9M	187.9M	59.4M	20.6 M	64.0 M
ctd_Latn	23.3K	11.6K	575.6K	382.2K	23.3K	11.6K	90.7K	41K	21.5 M	35.1 M
vec	1.1M	11.1K	10M	209.7K	284.7M	7.8M	1.8B	43.8M	17.7 M	625.0 M
hil	126.8K	10.6K	1.1M	379.7K	43.9M	9.2M	293.5M	57.2M	18.5 M	95.2 M
tyv	61.6K	9.1K	596.6K	268.3K	9.9M	4.7M	80.2M	38.5M	16.7 M	36.6 M
iba	34K	7.6K	326.9K	126.1K	37.8M	4.8M	251.4M	30.5M	10.0 M	61.3 M
ru_Latn	346.3K	7.5K	346.3K	239.1K	346.3K	7.5K	1.5M	27.7K	14.9 M	452.3 M
kbd	154.7K	7.5K	1.4M	257.2K	31.9M	4.4M	321.4M	36.8M	16.8 M	209.6 M
ti	20.8K	7.3K	20.8K	481.3K	18.2M	8.8M	95.4M	44.6M	30.9 M	63.6 M
sa	154.3K	7.1K	154.3K	1.1M	70M	9.9M	512.5M	88.8M	44.9 M	236.6 M
av	107.6K	6.3K	806.1K	190.1K	15.5M	3.4M	129M	30.2M	12.8 M	56.0 M
bo	6.2K	6.2K	1.1M	1.1M	3.4M	3.4M	88.7M	88.7M	40.7 M	40.7 M
zza	370.1K	6K	3.3M	229.2K	87.7M	3.9M	617.3M	26.3M	10.0 M	234.1 M
ber_Latn	480.5K	5.6K	10.5M	169.4K	480.5K	5.6K	2.1M	18.9K	11.0 M	945.3 M
otq	17.6K	5.6K	17.6K	114.8K	10.2M	3.8M	65M	23.4M	7.7 M	22.8 M
te_Latn	236.6K	5.3K	4.4M	269.1K	236.6K	5.3K	1M	19.3K	11.4 M	254.3 M
bua	9.8K	5.3K	252K	144.6K	4.7M	2.7M	38M	21.7M	10.0 M	17.9 M
ts	34.7K	5.2K	34.7K	248.6K	39.6M	6.5M	377.2M	38.8M	12.2 M	99.5 M
cfm	9.1K	4.9K	199.6K	128.6K	6.2M	4M	32.9M	21.5M	7.4 M	11.6 M
tn	138.2K	4.8K	138.2K	174.4K	46M	5.5M	302.3M	29.2M	9.4 M	99.0 M
krc	359.5K	4.8K	2.3M	153.9K	50.2M	2.6M	369.5M	20.7M	9.1 M	139.9 M
ak	19.5K	4.8K	341.7K	210.2K	12.3M	4.7M	74.5M	24.8M	9.1 M	24.7 M
meo	790.7K	4.7K	16.5M	39K	478M	1.2M	3B	7.5M	3.1 M	1.2 G
chm	81.5K	4.7K	929.1K	179.7K	17.2M	2.9M	132.2M	21.3M	9.8 M	53.5 M
to	14.3K	4.6K	14.3K	149K	10.3M	5.7M	58.2M	29.9M	9.6 M	19.0 M
ee	14.1K	4.5K	353.6K	246.7K	9.7M	6.2M	67.9M	32.8M	11.8 M	23.3 M
nso	376.2K	4.4K	376.2K	188.4K	419.2M	5.3M	2B	28.2M	9.1 M	502.7 M
ady	74.9K	4.2K	446.8K	96.9K	8M	1.6M	67.9M	14.8M	6.4 M	30.6 M
rom	22.9K	4.2K	22.9K	76.1K	8.9M	2.6M	59M	15.9M	5.8 M	21.0 M
bho	13.6K	4.1K	306.2K	118.5K	7.1M	2.7M	37.6M	13.4M	7.4 M	20.6 M
ltg	13.1K	4.1K	213.7K	87.3K	4M	1.9M	29.2M	13.9M	5.6 M	11.7 M
fj	17K	4K	410K	164.1K	11.6M	5.2M	67.7M	28M	8.6 M	22.5 M
yua	10.4K	4K	141.6K	77.6K	5.2M	2.5M	36.8M	17.2M	5.7 M	12.4 M
gn	87.1K	3.9K	770.9K	162.6K	19.2M	2.7M	140.7M	20.8M	7.8 M	52.1 M
az_RU	6.5K	3.8K	231.8K	177.3K	6.5K	3.8K	24K	12.9K	10.3 M	15.1 M
ln	94.7K	3.3K	718.7K	139K	42.4M	3.4M	291.8M	21.5M	6.8 M	85.3 M
ada	6.5K	3.1K	291.5K	199.2K	7.5M	4.9M	38.9M	24.2M	8.6 M	13.9 M
myv	164.8K	3.1K	164.8K	130K	16M	1.7M	120.3M	13.8M	6.2 M	49.5 M
bik	44.8K	3.1K	376.7K	77K	14.8M	2.5M	102.3M	15.7M	5.3 M	34.0 M
tlh	516.9K	3.1K	516.9K	46.9K	221.3M	1.1M	1.4B	7.8M	2.7 M	554.2 M
kbp	5.9K	3K	247.9K	128.3K	5.6M	2.6M	30.8M	14.6M	5.7 M	12.4 M
war	1M	2.9K	114M	96.2K	612.1M	2.4M	3.5B	16.1M	3.7 M	1.2 G
wa	70.6K	2.8K	1.5M	127.2K	35.2M	3.6M	198.8M	20.4M	7.2 M	67.8 M
bew	311.1K	2.7K	10.4M	58.4K	212.4M	1.3M	1.4B	8.5M	3.1 M	547.1 M
rcf	21.6K	2.6K	21.6K	50.5K	4.9M	1.2M	30.2M	5.7M	2.1 M	11.4 M
ta_Latn	260.7K	2.6K	3.4M	142.7K	260.7K	2.6K	1.2M	9.1K	5.0 M	215.4 M
kac	5.9K	2.6K	109.2K	77.4K	5M	2.8M	26.6M	13.6M	4.3 M	8.0 M
iu	5.4K	2.5K	92.6K	53.1K	1.9M	907.4K	17.5M	8.3M	4.8 M	9.9 M
ay	8.1K	2.5K	196.7K	83.8K	3.9M	1.4M	34.5M	13.1M	4.5 M	12.7 M
kum	4.2K	2.5K	132.2K	89.7K	2.3M	1.6M	18.2M	12.4M	5.3 M	8.0 M
qu	149.7K	2.4K	1M	87K	26.7M	1.3M	200.6M	12.2M	4.0 M	68.3 M
bgp	355.7K	2.4K	5.6M	43.3K	186.1M	1.8M	1.1B	9.8M	3.1 M	377.5 M
hif	702K	2.4K	7.9M	124.7K	1.2B	3.2M	9.1B	19.1M	5.9 M	3.5 G
kw	176.9K	2.3K	1M	51.6K	53.1M	1.3M	327.8M	7.7M	2.8 M	89.2 M
nan_Latn_TW	7.4K	2.3K	7.4K	72.7K	7.4K	2.3K	28.3K	7.7K	4.8 M	15.4 M
srn	16.7K	2.3K	16.7K	139.5K	8M	3.4M	49.1M	17M	5.1 M	15.6 M
tly_IR	406.3K	2.2K	406.3K	18.2K	406.3K	2.2K	1.6M	8.6K	580.4 K	283.0 M
sg	4.2K	2.1K	154K	117.9K	4.6M	3.3M	22.6M	15.5M	4.6 M	6.8 M
gom	4.6K	2.1K	178.3K	108K	2.7M	1.4M	19.8M	10M	5.0 M	10.5 M
ml_Latn	260.8K	2.1K	3.5M	77.3K	260.8K	2.1K	1.1M	7.2K	3.5 M	277.7 M
kj	112.2K	2.1K	881.8K	22.6K	46.9M	877.3K	339.6M	6M	2.1 M	104.9 M
ksd	14.9K	2K	533K	78.6K	11.5M	2.1M	62.4M	10M	2.9 M	20.0 M
dz	1.9K	1.9K	191.7K	191.7K	1.1M	1.1M	22.7M	22.7M	10.0 M	10.0 M
kv	59.1K	1.9K	584.3K	88.8K	9.5M	1.2M	91.4M	9M	4.4 M	41.0 M
msi	686.7K	1.9K	686.7K	22.6K	414.8M	440.4K	2.6B	2.7M	1.1 M	1.0 G
ve	3.8K	1.9K	97.8K	79.4K	3.2M	2.1M	19M	11.7M	3.8 M	6.2 M
zap	5.5K	1.8K	202.3K	93.5K	4.2M	1.8M	26.4M	11.4M	4.0 M	9.6 M
zxx_xx_dtynoise	118.8K	1.8K	3.8M	49.3K	118.8K	1.8K	501K	6.6K	3.9 M	367.0 M
meu	5.9K	1.7K	232.1K	72.6K	4.2M	1.4M	27.2M	8.6M	2.6 M	9.1 M
iso	3.7K	1.7K	155.8K	111.5K	4.4M	2.7M	23M	13.7M	4.9 M	8.1 M
ium	100.3K	1.7K	6.2M	54.9K	48.4M	1.7M	314M	7.4M	2.6 M	124.0 M
nhe	3K	1.7K	3K	57.7K	1.9M	1.2M	15.6M	9.8M	2.7 M	4.8 M
tyz	8K	1.7K	454.8K	104.6K	7.5M	1.9M	46.3M	11.3M	3.8 M	16.0 M
hui	2K	1.7K	80.1K	74.7K	1.8M	1.7M	11.8M	10.9M	3.0 M	3.3 M
new	6.6K	1.6K	6.6K	85K	3.2M	1.4M	21.2M	8.8M	4.4 M	10.6 M
mdf	71K	1.6K	394.7K	45.1K	8.3M	670.1K	65.8M	5.5M	2.5 M	26.7 M
pag	49.6K	1.6K	49.6K	88.8K	13.8M	1.9M	92.9M	12M	3.9 M	29.2 M
gv	501.9K	1.6K	18.8M	26.9K	137.7M	996.2K	933.1M	6.2M	2.0 M	318.6 M
gag	33.9K	1.6K	491K	37K	10.2M	661K	84.9M	5.2M	2.1 M	32.6 M
ngu	3.8K	1.5K	3.8K	87.1K	2.7M	1.5M	21.4M	11.8M	3.6 M	6.7 M
quc	4.4K	1.5K	89.2K	41.2K	2.8M	1.1M	16.6M	6.4M	2.2 M	5.9 M
mam	23K	1.5K	446.3K	52.9K	9.8M	1.2M	70.4M	7.2M	2.6 M	30.7 M
min	28.2K	1.5K	500.9K	75.6K	10.2M	1.4M	70.5M	9.9M	2.6 M	21.1 M
ho	2K	1.5K	57K	47.8K	1.8M	1.3M	12.3M	7.8M	1.9 M	3.1 M
pon	5.7K	1.5K	167.8K	48.7K	3M	1.1M	18.3M	6.7M	2.1 M	6.1 M
mrj	97.1K	1.4K	97.1K	60.3K	14.5M	1.1M	100.6M	7.6M	3.6 M	40.8 M
lu	10.6K	1.4K	316K	112.1K	7.8M	2.3M	54.2M	15.4M	4.8 M	18.0 M
gom_Latn	231.1K	1.4K	4.1M	77.9K	231.1K	1.4K	1M	5.1K	3.6 M	240.6 M
alt	2.6K	1.4K	110.1K	65.9K	1.8M	1.1M	14.3M	8.7M	3.8 M	6.4 M
nzi	2.5K	1.4K	2.5K	71.8K	2.5M	1.7M	14.4M	9.4M	3.1 M	4.8 M
tzo	2.8K	1.4K	100.4K	75.7K	2.5M	1.7M	15.9M	10.6M	3.2 M	4.9 M
bci	7.4K	1.3K	124.8K	87.1K	5M	1.9M	32.8M	9M	3.1 M	9.4 M
dtp	4.6K	1.3K	51.2K	7.9K	1.9M	419.4K	12.7M	3M	1013.9 K	4.5 M
abt	1.6K	1.3K	122.7K	110.3K	1.5M	1.3M	9.6M	8.2M	2.2 M	2.7 M
bbc	72.3K	1.3K	718.3K	73.2K	21.7M	1.7M	151.3M	10.6M	3.6 M	47.9 M
pck	8.9K	1.3K	8.9K	69.7K	6.8M	2.1M	39.8M	11.5M	4.2 M	14.2 M
mai	54.3K	1.2K	1M	60.2K	24.6M	1.2M	156M	6.8M	3.6 M	67.1 M
mps	2.7K	1.2K	132.8K	71.9K	2.8M	1.6M	16M	8.7M	2.3 M	4.8 M
emp	3.6K	1.2K	106.4K	75.4K	1.9M	999.1K	14.5M	7.4M	2.4 M	4.9 M
mgh	5.5K	1.2K	151.8K	61.2K	2.8M	1.1M	24.1M	8.2M	2.8 M	8.3 M
tab	7.8K	1.2K	226.4K	26.8K	4.3M	538.9K	33.7M	4.4M	1.9 M	15.7 M
crh	5.1K	1.2K	170.9K	61.8K	2.4M	943K	18.8M	7.5M	3.4 M	8.9 M
tbz	5.1K	1.1K	128.7K	37.5K	3.5M	893.4K	22M	4.8M	1.9 M	10.2 M
ss	8.1K	1.1K	8.1K	30.4K	2.7M	568.3K	23.7M	5.5M	1.8 M	7.4 M
chk	2.8K	1.1K	98.8K	44K	2M	1M	12M	5.8M	1.8 M	4.0 M
bru	3K	1.1K	89.7K	48.2K	2.4M	938.1K	12.9M	4.8M	1.5 M	4.5 M
nnb	4.9K	1.1K	4.9K	70.2K	3.2M	1.2M	27.7M	9.1M	3.3 M	10.0 M
fon	5.3K	1.1K	222.9K	67.3K	6.9M	1.8M	34M	8.3M	3.1 M	14.8 M
ppk	2.6K	1.1K	85.8K	34.9K	1.9M	801.8K	13.2M	5.5M	1.6 M	4.3 M
tiv	3.8K	1.1K	3.8K	80.7K	3.7M	2.1M	20.4M	10.2M	3.2 M	6.0 M
btx	3.1K	1K	81.7K	43.9K	2M	907.5K	13.1M	5.9M	2.0 M	4.6 M
bg_Latn	200.4K	991	2.8M	25.5K	200.4K	991	927.1K	3.7K	1.7 M	143.6 M
mbt	1.6K	969	86K	45.4K	2.4M	1.3M	14.6M	7.5M	2.2 M	5.1 M
ace	65.5K	966	632.5K	32.5K	19.9M	1.1M	146.1M	7.4M	2.2 M	42.3 M
tvl	2.3K	933	72.9K	53.6K	2.5M	1.7M	12.6M	8.1M	2.4 M	3.8 M
dov	3.5K	923	129.8K	56.7K	2.6M	967.5K	20.7M	8M	2.6 M	7.1 M
ach	2K	915	63K	40.1K	1.6M	890.9K	9M	4.7M	1.6 M	3.0 M
xal	71.8K	913	498.5K	30.8K	8.5M	449.8K	64.7M	3.2M	1.5 M	24.4 M
cuk	4.1K	899	76.5K	34.3K	2M	469.9K	24.7M	4.6M	1.5 M	6.1 M
kos	2.2K	881	44.6K	27.8K	1.1M	780.1K	6.5M	4.2M	1.4 M	2.2 M
crs	7.6K	873	282.4K	40.1K	7.3M	1.2M	40.1M	6.8M	2.2 M	13.2 M
